Day of Week Profession Text															
#		Sunday topic	Sunday text	Monday topic	Monday text	Tuesday topic	Tuesday text	Wednesday topic	Wednesday text	Thursday topic	Thursday text	Friday topic	Friday text	Saturday topic	Saturday text
50	Duper	Devils	"Devils!  Bah!  They're nothing more than illusions created by mages hiding vast treasure somewhere in Paradise Valley.  I know a few of those sorcerers personally, you see.  This ring I'm wearing was a gift from one of them."	Nicolai 	"Nicolai Ironfist is my twin brother.  I'll bet you didn't know that, did you?  We were separated a long time ago by our father, Roland.  They've used magic to keep Nicolai looking so young, but he's really my age."	Baa	"The Temple of Baa is full of insane cultists bent on world domination!  Their evil is everywhere, and they're out to get you and me!  Our only chance of escape is to kill their leader, Wilbur Humphrey, before he poisons the ear of the prince any longer!"	Pyramid	"Everyone wonders what secrets the ancient pyramid in Dragonsand holds.  Well, I know.  I went there under the protection of the King of the Dragons, and entered the pyramid.  It's the storehouse for all of the dragons' treasure!  It's packed to the brim with gold and artifacts.  Ahh, just the memory of the beauty brings a tear to my eye."	Organized Crime	"Up north, it's not uncommon for wealthy businessmen to preserve their position in the market by hiring thugs to trim their competition.  Trade wars can become quite literally wars.  It's best to not get involved in any merchant disputes."	Roland	"Don't tell anyone I told you this, but Roland isn't dead.  He simply needed a vacation from all of the pressures of being king, and he's hiding away on Abdul's Resort Isle under a false name."	Bridge	"Nicolai has commissioned a bridge to be built from New Sorpigal to Mist.  I'm working for him by offering affluent members of society a chance at charter membership of the Nicolai Ironfist Bridge Fellowship.  The basic membership gets your name on a flagstone of the bridge and costs 50,000 gold– a small price to pay for immortality.  Are you interested?"
51	Burglar	Stealing	"Some people are born to trade, or negotiate, or fight, or study.  I'm born to steal, and I'm pretty good at it.  Times are a lot harder now because of all the calamities; it's hard to find things worth stealing anymore– people are way too careful with what they have."	Sewers	Most people like to talk about the sewers of Free Haven as a home for all sorts of thieves.  I doubt it though.  I'd certainly live in a nice house with plenty of butlers and maids if I had my druthers.  Why would I choose to live in a sewer?	The Prince of Thieves	"A bandit that prowls up north, he is notorious for collecting 'protection' from merchants.  He has a good racket, but I'm not sure how long it'll last before someone does him in."	Banks	"Gah!  Nothing has ruined my livelihood more than the banks.  Because it's nearly impossible to break into them, everyone stores all of their valuables there.  I can't find anything decent to take anymore."	Thieves' Guilds	Some of the best perception and lock-picking teachers hang out in Thieves' Guilds.	Disarm Traps	"To keep people like me away from their things, people will often trap their chests. "	Fetzil 	"Fetzil, the Prince of Thieves lieutenant, is smart; he knows enough to hide out when things get hot.  He's not an easy person to catch."
52	Peasant	Labor	Thank God for Sundays!  If I had to work every day I think I would revolt against my noble oppressors and replace them with a capitalist-bourgeoisie run quasi-democratic society where I would still have to work long hours for little pay.	Temple of Baa	Have you heard of the Temple of Baa?  They're wonderful!  My family was hungry and they fed us when no one else would.  All we had to do was promise to come back!	Mandate of Heaven	"Don't tell anyone I said this, but people are saying the Ironfists have lost the Mandate of Heaven.  What else could cause all the storms and floods and disasters?  These are signs of heavenly wrath, mark my words!"	King Roland	"It's a shame about the king, what with his disappearance and all.  He must have done something to offend heaven to be so unlucky.  I guess he's getting what he deserves."	Nicolai Ironfist	"Even if King Roland did something bad to cause heaven to abandon him, I don't suppose that his son Nicolai deserves it.  After all, he's only ten years old.  Maybe heaven will smile upon him and give him heaven's mandate to rule wisely.  That would be nice."	Weather	"Weather sure has been strange lately.  Why, last June it snowed!  Snow in June, who'd ever have guessed?  It is an ill omen, snow in summertime."	Shooting Stars	"All of the really bad disasters started happening after the Night of the Shooting Stars two years ago.  Not much has gone right since then, except the Temple of Baa.  They really help people.  They also say that King Roland must have done something awful, 'cause the stars were avenging angels falling from Heaven to punish the wicked."
53	Serf	Governor	"I wonder what life was like before the Silence with a governor in charge of everything?  It couldn't have been very good, or there wouldn't have been a rebellion."	Nicolai 	"We need a real king, not a child.  How can Nicolai be a good ruler when he's still a child?"	Protection	"With all of the troubles that are going on, I'm certainly glad to be protected by my lord!  Other people might have to worry about their well-being, but all I have to focus on is the work that must be done."	Adventurer	"I wish I was a hero with a sword and shield, instead of a peasant with a plow."	Bandits	I can't leave the towns and castles without some bandit taking away what little money I actually manage to save.  Why can't the guards do something about all the brigands?	Temple of Baa	"Despite all of my problems, at least the Temple of Baa cares about me and helps me out.  Not like the government we have now."	Taxes	I hate taxes!  Why should we pay taxes anyway?  It's bad enough I have to spend my life working for other people; I need to pay them for the 'honor'?
54	Tailor	Hats	"There are three styles of hats popular these days, ranging from the cloth hat to the fancy, expensive sort made by the highest quality tailors.  Wizards like to enchant quality hats because they're lighter than helms and don't block your vision.  Also, a certain kind of conical hat seems easier to enchant than others."	Cloaks	"There's not much difference in cloak styles, except a general color or fabric choice.  There is one that stands out,  however, as quite unusual.  That's the Doomsday Cloak, fabricated 80 years ago by the Church of the Moon.  You can recognize it buy it's black interior lining and silver hem.  These cloaks are invariably highly enchanted."	Gauntlets	"Gauntlets are more an armorer's specialty than a tailor's, but I can tell you that the best stuff is available in the armorsmith shops of the far north.  The finest of these magical gauntlets are almost as easy to wear as a soft glove, yet protect every bit as well as the hardest plate gauntlets."	Belts	"Erik Applegate is the tailor most famous for working with alchemists to enchant belts.  Applegate has been working at this task for a few decades, now, and you can expect they've turned out some amazing stuff.  "	Indigo	"Indigo from Regna was cut off a decade ago when the king outlawed trade with that pirate kingdom.  I can understand why he did that, but I sure am tired of the indigo shortage.  I can't dye anything blue or purple!"	Boots	"Boots are the cobbler's domain, and I don't know much about them, but I will say that you shouldn't overlook their usefulness.  They can go a long way to adding to your overall personal protection in battle.  Everyone should wear boots."	Cotton	"Cotton is found in Karigor, the island home of the Church of the Sun and the Church of the Moon.  It doesn't grow well anywhere else, and it's difficult to pick and seed, but it makes for wonderful soft clothes, if you can afford it."
55	Laborer	Time of Wonders	Before the Silence was the Time of Wonders.  Magical creations handled all the hard labor– I wish I had one to do my chores.	Work	Someone has to do all the grunt labor around here.  Too bad that someone is me.	Ironfists	"As much as I hate being a lowly laborer, I'd much rather be me than any of the Ironfists.  Troubles seem to follow them like ants at a picnic.  I lead a simple but happy life… better that than to be a miserable noble."	Widoweeps Berries	I ate some poppysnaps once.  They made me so sick I missed a day's work.	Entertainment	What do you want from me?  I'm just a worker; I'm not here to amuse you.	Graves	I imagine much of my work in the near future will be digging the graves of the people killed by the devils.	Brigands	"If I could actually use a weapon, I'd probably be better off joining a bandit group.  I bet they lead an easy life."
56	Farmer	Majesty of Law	"All are equal before the majesty of the law:  Rich man as well as poor is prohibited from sleeping under bridges, stealing bread and begging for change.  –Voltaire"	Cold Weather	"All this cold weather's really got me worried.  It's really unusual, and I'm concerned for the health of my crop."	Armies	"There's been a lot of troop movement, these days.  All these soldiers keep walking over my fields!  Now you tell me– what do you think happens when an entire army walks over your crops?  Yes, that's right!  Financial ruin!"	The Blight	"I hear there's a terrible blight infecting crops and plants in the west.  If it spreads here, I'll be ruined!"	Rivers	"It sure has been raining a lot, lately.  It would be terrible if the clouds ran out of rain and the rivers ran dry because all the water had been used up during these storms.  If the rivers all ran dry, I'd be ruined!"	Produce Prices	"I can't even begin to tell you how awful produce prices have been in the market, recently.  I think someone's artificially fixing the prices low!  If this goes on much longer I'll be ruined!"	Farm Help	"Sure's been hard to get help recently.  What is a good farmer to do if he can't find strong workers during harvest times?  Go into bankruptcy and ruin, that's what!  Oh, woe is me!"
57	Cooper	Advice	It's easier to let a barrel roll down hill than to push it up.  Sometimes it's better to just go with the flow.	Heavenly Forge	"If I had a Heavenly Forge, I could make hundreds of barrels a day and not break a sweat.  I guess those forges were one good thing about the Time of Wonders."	Taverns	Fortunately there are a lot of taverns and inns around; they keep me busy making casks for them.  You can find an inn almost anywhere.	Wood	"With the destruction of Blackwoode and the stand-off in the Timber War, where am I going to get wood to keep making barrels?"	Barrels	"Chests and boxes aren't the only things that can hold treasure.  Barrels can also hold valuables, so don't forget to search them, too."	Liquids	Be careful drinking liquids left in barrels; you never know how long it's been sitting there.  You could get sick doing something like that.	Oracle	"I'd love to hear what the Oracle would say about the devils, the Temple of Baa, and Prince Nicolai.  Why won't the council consult the Oracle?"
58	Potter	Clay	Not all clay is created equal.  The best clay can be found in the bed of the rivers and streams flowing past Free Haven.	Hot Fires	"To make strong, excellent pottery, you really need a hot fire.  If it weren't so dangerous, I'd make a trip to Castle Kriegspire to try out the fires they're supposed to have under the castle.  "	Markets	"It's tough being a potter these days– there's no reason making it harder on yourself.  Always go to market knowing what prices should be, and make sure you come armed with your wits!  Someone without any merchant skill is likely to get bad bargains."	Fossils	"You can find the shells of all these little animals along the beach and in the rivers when you're looking for good clay.  They must be very old.  There's a lot of shellfish in the Free Haven Harbor.  Oysters, I think.  So many of them, they clutter up all my good clay!"	Paints	"Shipping has slowed from Erathia, which is where I get all the paints I need for my work.  That's the land the queen comes from.  I wonder if there's a problem over there?"	Spinning Patterns	"The wheel spins in the most fascinating ways.  Sometimes I think that if everyone would take a little time out and watch the wheel spin, they would calm down, and be less likely to fight with one another.  But no one will listen to me.  I'm just a lowly potter."	Change	Change is in the air and on the wind.  You can smell it and feel it.  Something big's going to happen soon.  I can always tell.
59	Weaver	Magic Clothes	Some articles of clothing have been enchanted.  It will benefit you to wear these types of magic clothes.	Weather	"When the storms hit in July, I was completely unprepared for the demand for winter clothes.  Now that I'm ready for the winter demand, it hasn't been all that cold.  I must have done something to anger the Heavens!"	Frozen Highlands	"If you're planning on staying up north for very long, make sure you pack warm clothes.  It never seems to stop snowing up there."	Clothes	"Fancy hats and pretty shirts are nice, but if you're going to be in combat you're better off with armor and a helmet."	Baa Cloaks	"I don't know who makes them, but every Baa priest has a cloak with the symbol of Baa on it.  I wish I had the job of making all those cloaks, I'd be rich!"	Dyes	"It's one thing to make the clothes, but the beauty usually comes from dying the clothes in interesting colors."	Darkmoor	Warm clothes won't help you resist the chill of Castle Darkmoor.  The undead there steal the warmth from your body with their touch.
60	Cobbler	Shoes	"Everyone should wear shoes, not just nobles and rich people!  What are you going to do if you hurt your feet?  How are you going to keep working?"	Magical Boots	There are a few different kinds of magical boots that alchemists have been making.  Most of the metallic ones have some sort of enchantment on them.	Dragonhide	"Dragonhide is the best material to use when making any shoe, belt, or boot.  It is supple, yet tough and resistant to the elements."	Hermes	Have you ever heard of the legendary pair of boots called Hermes?  It's said that the boots can boost their wearer's speed to godlike levels.  I'd love to see that someday!	Hobnail Boots	History is the sound of soft-soled slippers going down the stairs while hobnail boots climb up the stairs.	Will of the Gods	"The fact that our king is missing is awful, but it must be the will of the gods.  How could anything happen that isn't the will of the gods?"	The Blight	"The blight that's afflicting western crops and animals is slowly spreading east.  Cows are affected first, and this is causing a very serious leather shortage.  You can expect the price of boots and belts and other leather goods to be increasing!"
61	Ditch Digger	Intelligence	"If I was smart, do ya think I'd be digging ditches for a living?  Be serious, please."	High Council	Why isn't anyone doing anything about all the bad things happening?  Isn't that what the council is there for?	Pirate Treasure	"With all the practice I have digging, I should go to the islands in the bay and dig for pirate treasure."	Skills	"I'm not nearly as skilled as some of the people around here.  If I could cast spells, or heal, or fix things, more people would want to hire me.  Who needs ditches dug anymore?"	Promotion	"I sure wish I could learn to do something other than dig ditches, but I'm just not bright enough."	Osric Temper	Lord Temper won't even allow me to become a knight.  He said I wasn't smart enough to follow directions.	Labor	"This isn't the best job in the world, but at least the work is steady."
62	Miller	Grindstones	"Grindstones are so hard to make and find, it's a wonder anyone ever becomes a miller.  I hear that Karigor has a great rock quarry that turns things like millstones out by the hundreds.  "	Grain Prices	There must be something wrong with this year's grain crops.  I can't seem to find enough sellers of raw wheat and corn to make my business run properly.  I don't know how much longer this can go on before I'm broke.	Wind	"Well, with all this bad weather going on, at least the wind is good for me.  I have two windmills, and a little wind goes a long way to saving me a lot of money on labor costs!"	Water Mills	"While the storms have been a big help with the windmills, the water mills are suffering from all the cold weather.  Every time the streams freeze up, no work gets done at the water mills."	Flour	"Flour's been going bad early this year, even though it's properly stored in sealed containers.  I wonder what's going on?"	Mice	Mice and rats are a relentless plague upon mankind!  I hear that a keep near New Sorpigal has the biggest rats in the world living in it.  <shuddering>  May I never see such horrors as long as I live!	Taxes	"Taxes have been good under this King.  Archibald was terrible, much worse than his father.  I thought I would be ruined by Archibald's cruel taxes.  May he nor his like never hold the throne again!"
63	Carpenter	Timber Wars	Can you imagine the Elves starting a war over deforestation?  Where do you get wood if not from trees?  How am I supposed to make a living if I don't have lumber to shape and build with?	Enchanting	"The metal weapons aren't the only things to be enchanted.  Wooden weapons, like bows, sometimes have powerful spells placed in them as well."	Regna	"Perhaps I should move to Regna.  They have the largest navy in the world.  I could easily adapt to shipbuilding.  I mean, wood is wood, right?"	Heavenly Forges	The last Heavenly Forge stopped working about 130 years after the Silence.  No one has ever been able to repair the Forges.	Cabinets	Don't forget that you can store things in cabinets.  Chests aren't the only places to keep your treasure.	Blackwoode	"With all of Blackwoode now destroyed, wood is going to be very scarce in Enroth.  We might see another Timber War starting soon."	Secret Passages	"Let me tell you, some bookshelves or desks or other furniture can be crafted to conceal a secret passage.  You can walk through a room and never realize there were two or three other hidden exits."
64	Stonecutter	Church Design	"Churches and kings seem to spend a lot of time thinking about paving stones and whatnot.  If it weren't for them, I would hardly have any work at all."	Marble	"Marble is the finest building material money can buy.  Most of it comes from the hills near Blackshire...   which is too bad, since people are saying there's some sort of terrible curse on the people of that area. Not much work is getting done around there these days."	Gems	"Gems can be worth quite a bit of money, so don't get rid of them or sell them cheap!"	Jade	"They say that the streets of Kalimar, the capitol city of Karigor, are made of fine jade, and the buildings all use it too.  Sounds beautiful, doesn't it?"	Flagstones	"The roads of Enroth are made of flagstones from the hills near Kriegspire.  They were placed long ago by the people who first settled Enroth, and those first roads have never eroded or decayed in any way.  Very odd."	Ethric's Tomb	"The Tomb of Ethric the Mad is a wonder of fine stone cutting.  My grandfather helped build it.  He says there are some very cleverly concealed secret doors in the Tomb.  Why Ethric would care if a door was secret or not is beyond me, but hey– he was both rich and mad.  I guess he could do what he liked."	Statues at Star Lake	"If you ever take a trip near Star Lake, be sure to check out the beautiful statues on the island in the center of the lake.  They are so life-like they're breathtaking!"
65	Jester	Joke of the Day	"Why are there only twenty hours in a goblin day?

Ever see a goblin with twenty-four fingers and toes?"	Joke of the Day	"How can you recognize a goblin pirate?

He is the one with the patch over both eyes!"	Joke of the Day	"Why didn't the skeleton cross the road?

He didn't have the guts!"	Joke of the Day	Did you hear about the orc ventriloquist whose dummy quit to find a new partner?	Joke of the Day	"What do you call a jittery sorceress?

A twitch!"	Joke of the Day	"Why is it goblins have no luck raising chickens?

They plant the eggs too deep!"	Joke of the Day	"What is big and red and eats rocks?

A big red rock eater!"
66	Trapper	Game	"Used to be plenty of game out west.  Not so much, these days. Maybe it has something to do with the blight that's been killing the plants in Pleasant Valley."	Monsters	"Monsters been eating the good game animals, lately.  Lots more monsters than usual."	Tanning	Tanning is a disgusting job.  That's why I trap instead of tan.  	Traps	"There's lots of ways of laying a trap that's sure to go off when someone opens a box or steps on a certain spot on the ground.  You'd do well to have a little skill in disarming traps if you're going to go adventuring.  Could save your life one day, you know."	Dark Days	"Dark days are upon us, mark my words!  Never have I seen so many monsters and so little game."	Fur	"The one thing you can say's been good these days is the cold weather.  All the animals have really thick, valuable fur.  Only trouble is finding them.  Monsters been eating most of the good fur animals, I think."	Spooked Animals	"Come to think of it, the animals all started to go away when the stories of the devils in the West started cropping up.  Yep.  That's probably it.  Pesky critters!"
67	Beggar	Temple of Baa	"Most people have too many problems of their own to help out a poor beggar like me, but the priests of the Temple of Baa always seem to have time and money or food for me.  I'm very grateful to them for helping me."	Wealth	I can't believe how few people will actually part with a little money for a wretch like me.  Is everyone so selfish?	Succession War	"I hate to be begging like this, but the injuries I sustained in the Succession War prevent me from doing most labor. "	Donations	Have pity on a poor soul and spare a few coins!  The gods will favor you if you do.	Silver Cove	Nothing is worse than trying to beg near Silver Cove.  All the people there are so greedy!	Blackshire	"Just between you and me, I saw a werewolf when I was a werewolf in Blackshire!  I believe all the rumors about their curse."	Wretch	"I'm so pitiful, the bandits that prowl the roads even laugh at me!"
68	Rustler	Cow Shortage	The blight everyone's been talking about has been killing all the cows!  Now tell me.  How's a soul supposed to make a living rustling cattle when there's no cattle to rustle?	Fencing	"Don't tell no one, but I have a cleric friend who heals the brand marks right off the cattle we, ah, borrow from all the ranchers.  Works like a charm!"	Bloodsuckers	"Don't laugh, but I heard that giant flying bloodsuckers are responsible for killing the cows in the New Sorpigal area.  Gods preserve us!"	Cow Tipping	"Ever try sneaking up on a cow in the middle of the night?  They sleep standing up.  You can knock them over by just pushing hard.  Boy, that is one surprised cow when it wakes up!"	Underworld	"The Shadow Guild is the best place to find a buyer willing to take stolen cattle.  There's nothing they won't do!  They're great, AND they charge less than the regular Thieves' Guild.  You gotta try them out!"	Poaching	"When cattle rustling gets too hard, I usually spend my time hunting on some Lord's land.  Since most people are afraid to hunt there, those forests haven't been over-hunted.  Recently, though, the animals have been getting scarce.  Could have something to do with the western blight."	Notoriety	"If you think your reputation is getting too bad for people to tolerate you, you should check yourself into a temple and start donating, my friend.  The temple will spread word of your generosity far and wide, and people will think better of you for it."
69	Hunter	Extinction	"Mogreds are extinct in Enroth, and almost extinct in Karigor.  They were over-hunted because of how valuable their horns are for enchanting."	Blackwoode	"The destruction of Paradise Valley wiped out the grandest forest in Enroth, Blackwoode Forest.  A peaceful place, Blackwoode Forest was full of game.  I made a good living there among the trees.  Now I'm not sure where to hunt."	Shrines	Scattered about the lands are shrines.  I wonder what they're dedicated to and who worships at them?	Ivan Seling	"Who's Ivan Seling?  Only the greatest bow craftsman ever!  I wish I had a bow he made.  No one could be a better hunter than I!  Unfortunately, his bows have become very rare since the Timber Wars."	Bounty Hunter	"With the lack of animals and all the problems lately, I should probably just become a bounty hunter.  I could probably make a fortune tracking down all the lawbreakers."	Game	"In some places it is difficult to hunt for game.  You need to pack more food when you travel in swamps or deserts or snow, for example."	Bows	"If you're going to hunt anything, you'll need a bow.  I don't think you are fast enough to chase a deer down with your sword."
70	Scribe	Paper	"There's a paper shortage that's come up recently, and I can tell you, my clients do NOT like it.  It's amazing to hear some wealthy noble like Loretta Fleise complain about the cost of paper.  She probably has the largest pile of gold in the kingdom, perhaps even the world, and still she complains."	Pushy Nobles	"You can't even begin to understand how unpleasant working for the nobility is.  They may have money, but no other client is so pushy, demanding, or uncaring about the way they use your time."	Books	"I've scribed some spell books for a number of sorcerers, including Albert Newton.  He's my best customer, as a matter of fact.  He sells the most complex spells to the Guilds of Light and Dark based somewhere in the west, probably near Blackshire."	Scrolls	"Given the lousy selling price of spell scrolls, I would just hold on to them and use them in emergencies.  Often they are scribed at a very high skill level, so you may find their use worthwhile."	Dictation	"The most demanding master to have to work for is Osric Temper.  No one else shouts as much, or talks as quickly during a dictation.  I will say this though– of all the Lords, he is the only that seems to be on top of the devil situation we all know is so serious.  Unpleasant to work for to be sure, but he has the interests of the kingdom at heart."	Records	Wilbur Humphrey has hired me several times to take notes on disaster reports filtering in from around the kingdom.  I think there's been a sharp increase in calamities since the disappearance of the king.	Library at Karigor	"When I was much younger, I had a chance to see the ruined library of the Church of the Moon at Karigor.  It was made entirely of jade and marble, and once contained the wisdom of the ages within its hallowed halls. If ever you have a chance to visit, take it!"
71	Missionary	Church of the Sun	"Based on worshipping nature and the world around us, this church cared less about the people and more about its selfish goals.  "	Regna	The Island Empire of Regna hasn't converted to Baa yet.  I'm hoping to travel there to spread the word of Baa.	Church of the Moon	This Church focused on worshipping the heavens.  The conflict between the Churches of the Sun and Moon was pointless and wasteful.  We're all fortunate they're both gone.	Roland	Roland's death is proof that the Ironfist line has lost the Mandate of Heaven.  It's time Enroth had new rulers!	Baa	Have you spoken with Baa today?  Let me help you come to grips with your problems and show you a better way; it will only take a little of your time.	Nicolai	"The prince is far too young to manage a kingdom.  Wilbur Humphrey should be ruling the kingdom for himself, not in the name of a child."	Temple	The main Temple of Baa is just northwest of Blackshire.  Only members of Baa are allowed inside.
72	Clerk	Holidays	I could certainly use a holiday.  How many clerks do you know of that work every day of the year?	Tuesday	We get all of our important shipments in on Tuesdays.	Pushing Paper	"Better than digging ditches.  Besides, someone has to keep the machinery of state moving!"	Rubber Stamps	Rubber for my stamps comes from southern Erathia's more tropical climate.  There's a plant that grows there that saves clerks 'round the world a lot of repetitive writing!	Taxes	"A lot of people complain about taxes, but I just want to say I like them.  How could clerk's offices function without tax money?  How would people get permits and licenses without us?"	City Councils	"If you ever find yourself in need of work, just stop by the city council's office in one of the large towns.  There's usually a job that needs doing."	High Council	The High Council isn't just an ordinary city council– they are the body that represents the lords of the land.  They vote on important matters of state that need to be taken before the king.  They also control access to the Oracle.
73	Guard	Guards	"I know most people don't feel our job is important.  With the events recently, however, it's extremely important for us to keep order.  We will be as vigilant as ever!"	Arena	"Fortunately, most violent people take their aggressions out in the Arena, and not in the towns."	Sleeping	"Do I look bored to you?  I'm not, of course.  Acting like you're asleep is an old guard's trick. "	Roland	I wish I had the opportunity to go on Roland's expedition.  Better to take action and fight bravely against the enemy than to stand around and wait for trouble.	Dragon Towers	The towers outside the towns shoot at flying creatures that we'd normally have a difficult time handling.	Unrest	The rumors of the dynasty collapsing and all the disasters have brought out the worst in humanity.  I need to be even more vigilant than normal to keep the peace.	Patience	It is important for guards to be patient.  We can't go out and look for trouble; we need to wait for trouble to find us.
74	Follower of Baa	Worship of Baa	"Baa changed my life for the better!  Surrender your will to Baa, and you will forever be free of doubt and pain!"	Fellow Travelers	"Baa, friend…oh.  Uh, I thought you were a member of my temple.  Sorry, my mistake.  "	Free Healing	"If you're ever in need of healing and you don't have enough money to pay those sharks at the regular temples, why not visit a Temple of Baa?  They're healing people for free!"	Superior Temple	"Once you join the Temple of Baa, you'll be issued temple cloaks and be allowed to visit the Superior Temple of Baa located just east of Castle Kriegspire.  Everyone's going to join us sooner or later, so why wait?  The Superior Temple is quite a sight!"	Supreme Temple	"No one knows where the Supreme Temple of Baa is, but I've heard only full-fledged priests and high temple officials are allowed to visit."	Devils	"The devils people are talking about causing havoc in the west are just misunderstood.  Baa says that they are our friends.  You just have to be respectful and run from them if you see them coming.  They need a lot of personal space, and get angry if they don't get it.  But that's only because they are superior beings.  If we were superior, all this would be easier to understand."	Madness	I'm fine!  Why do you ask?
75	Noble	Sundays	I hate Sundays!  It is ever so hard to get good help to work on Sunday.  Like it's different than any other day!  Humph.	Upstart Religions	"There is nothing worse than new religions promising the world to the underprivileged.  They are upsetting the applecart and fomenting rebellion.  This Temple of Baa that everyone is talking about– now, they're no good.  I do wish the regent would mobilize against them."	Mandate Nonsense	"This Mandate of Heaven nonsense really has the potential to start up some serious trouble.  If someone doesn't figure out what is going on with these disasters soon, the kingdom is going to fall apart!"	The King	"The king's disappearance is a disaster.  I know that it is hard to feel sympathy for the nobility, but an orderly kingdom is in everyone's best interests.  Losing the king doesn't create order, and there is no one who could possibly replace him without so much bloodshed it would make the Succession Wars look like a schoolgirl slap fight!"	Queen Catherine	I do hope that the queen returns from her trip to her homeland soon.  Even if she is a foreign queen she will supply some semblance of order to our besieged kingdom.	Sabotage of Summer	I have heard rumors that the recent 'winter during summer' spectacles have been caused by mischievous sorcerers who have learned to meddle with the weather.  I think it's part of a plot to create mass hysteria and open rebellion against the King.	Meteors	"I'm wondering if something foul indeed fell from the sky that Night two years ago.  I am not, however, of the opinion that it was an avenging angel!  More like a devil, if you ask me!"
76	Gambler	Luck	I hope your luck is better than mine.  I've lost a lot of money on sure bets recently.  I think the bad luck of the Ironfists is rubbing off on me.	Oracle	"The High Council hasn't consulted the Oracle for years.  The last person to try was Archibald, and the Oracle didn't help him out at all."	Archibald	"You can tell that Archibald's an Ironfist– he has the trademark bad luck.  Not only did his bid for power fail, now he's a statue in the royal library.  At least he gets to spend the rest of his days in the castle."	Weather	I can't believe the strange weather we've been having lately.  I think I might just start betting on the weather.  I could probably make a killing!	Ironfist Dynasty	Most people don't have confidence in Nicolai.  I'll bet you 3 to 1 odds that he gets thrown out before his next birthday.  What'd ya say?	Chimney Sweeper	"Take it from me, if you want a lucky charm, hang around a chimney sweep.  Sure, their banter can be annoying, but they're the luckiest people I know."	Catherine	"The poor queen has lost both her father and her husband.  Hopefully, nothing will happen to Nicolai. "
77	Child	Circus	"I can't wait for the Circus of the Sun to get here.  I've been good all year, so hopefully my parents will take me to see it!"	School	"I hate school.  My father says I need to work hard so that I can get a good job, maybe even learn to study magic.  Who cares about that?  I just want to play!"	Nicolai	"I wish I was Nicolai!  He's still a kid, but I bet no one tells him what to do!  He can do whatever he wants because he's the king.  Not like me, everyone tells me what to do."	Devils	"My mother told me that if I do bad things, the devils will come and get me!"	Goblins	Do goblins have names?  Or families?  Why are they evil?	Boats	I'd love to sail the oceans on a big ship.  I could travel to all the islands and just be free of school and chores and my parents.  That would be wonderful!	Fighting	Why do grown-ups always have to fight?  Why can't people just get along?
