Q Bit	Quest Note Text	Notes	Owner
1301		NPC	
1302		NPC	
1303		NPC	
1304		NPC	
1305		NPC	
1306		NPC	
1307		NPC	
1308		NPC	
1309		NPC	
1310		NPC	
1311		NPC	
1312		NPC	
1313		NPC	
1314		NPC	
1315		NPC	
1316		NPC	
1317		NPC	
1318		NPC	
1319		NPC	
1320		NPC	
1321		NPC	
1322		NPC	
1323		NPC	No more Jewelled Egg Chest
1324		Peter	Used Key to Open Goblin Watch
1325		NPC	Pad activation in Mist.
1326		NPC	Sword in the Stone (New Sorpigal)
1327		NPC	Sword in the Stone (IronFist)
1328		NPC	Kilburn's Shield
1329		NPC	IronFist Well
1330		NPC	+10 Luck permanent.
1331		NPC	
1332		NPC	
1333		NPC	
1334		NPC	Sword in the Stone (OutD1)
1335		NPC	Sword in the Stone (OutD1)
1336		NPC	Sword in the Stone (OutD1)
1337		NPC	Sword in the Stone (OutE1) Druid
1338		NPC	Sewer teleporter to T6 will not work till this is set from T6
1339		NPC	T6 Alter of Fire
1340		NPC	T6 Alter of Cold
1341		NPC	T6 Alter of Pain
1342		NPC	T6 Shrine of Fire
1343		NPC	T6 Shrine of Air
1344		NPC	T6 Shrine of Water
1345		NPC	T6 Shrine of Earth
1346		NPC	
1347		NPC	
1348		NPC	
1349		NPC	
1350		NPC	
1351		NPC	
1352		NPC	
1353		NPC	
1354		NPC	
1355		NPC	
1356		NPC	
1357		NPC	
1358		NPC	
1359		NPC	
1360		NPC	
1361		NPC	
1362		NPC	
1363		NPC	
1364		NPC	
1365		NPC	
1366		NPC	
1367		NPC	
1368		NPC	
1369		NPC	
1370		NPC	
1371		NPC	
1372		NPC	
1373		NPC	
1374		NPC	
1375		NPC	
1376		NPC	
1377		NPC	
1378		NPC	
1379		NPC	
1380		NPC	
1381		NPC	
1382		NPC	
1383		NPC	
1384		NPC	Obelisk OutA1
1385		NPC	Obelisk OutA2
1386		NPC	Obelisk OutA3
1387		NPC	Obelisk OutB1
1388		NPC	Obelisk OutB2
1389		NPC	Obelisk OutB3
1390		NPC	Obelisk OutC1
1391		NPC	Obelisk OutC2
1392		NPC	Obelisk OutC3
1393		NPC	Obelisk OutD1
1394		NPC	Obelisk OutD2
1395		NPC	Obelisk OutD3
1396		NPC	Obelisk OutE1
1397		NPC	Obelisk OutE2
1398		NPC	Obelisk OutE3
1399		NPC	Obelisk Rock
1400		NPC	d18 Door
1401		NPC	Fire Lord gives XP and treasure only once
1402		NPC	
1403		NPC	
1404		NPC	
1405		NPC	
1406		NPC	
1407		NPC	
1408		NPC	
1409		NPC	
1410		NPC	
1411		NPC	
1412		NPC	
1413		NPC	
1414		NPC	
1415		NPC	
1416		NPC	
1417		NPC	
1418		NPC	
1419		NPC	
1420		NPC	
1421		NPC	
1422		NPC	
1423		NPC	
1424		NPC	
1425		NPC	
1426		NPC	
1427		NPC	
1428		NPC	
1429		NPC	
1430		NPC	
1431		NPC	
1432		NPC	
1433		NPC	
1434		NPC	
1435		NPC	
1436		NPC	
1437		NPC	
1438		NPC	
1439		NPC	
1440		NPC	
1441		NPC	
1442		NPC	
1443		NPC	
1444		NPC	
1445		NPC	
1446		NPC	
1447		NPC	
1448		NPC	
1449		NPC	
1450		NPC	
1451		NPC	
1452		NPC	
1453		NPC	
1454		NPC	
1455		NPC	
1456		NPC	
1457		NPC	
1458		NPC	
1459		NPC	
1460		NPC	
1461		NPC	
1462		NPC	
1463		NPC	
1464		NPC	
1465		NPC	
1466		NPC	
1467		NPC	
1468		NPC	
1469		NPC	
1470		NPC	
1471		NPC	
1472		NPC	
1473		NPC	
1474		NPC	
1475		NPC	
1476		NPC	
1477		NPC	
1478		NPC	
1479		NPC	
1480		NPC	
1481		NPC	
1482		NPC	
1483		NPC	
1484		NPC	
1485		NPC	
1486		NPC	
1487		NPC	
1488		NPC	
1489		NPC	
1490		NPC	
1491		NPC	
1492		NPC	
1493		NPC	
1494		NPC	
1495		NPC	
1496		NPC	
1497		NPC	
1498		NPC	
1499		NPC	
1500		NPC	
1501		NPC	
1502		NPC	
1503		NPC	
1504		NPC	
1505		NPC	
1506		NPC	
1507		NPC	
1508		NPC	
1509		NPC	
1510		NPC	
1511		NPC	
1512		NPC	
1513		NPC	
1514		NPC	
1515		NPC	
1516		NPC	
1517		NPC	
1518		NPC	
1519		NPC	
1520		NPC	
1521		NPC	
1522		NPC	
1523		NPC	
1524		marks quest items	scroll of dark containment
1525		marks quest items	
1526		marks quest items	
1527		marks quest items	
1528		marks quest items	
1529		marks quest items	
1530		marks quest items	
1531		marks quest items	
1532		marks quest items	
1533		marks quest items	
1534		marks quest items	
1535		marks quest items	
1536		marks quest items	
1537		Promoted to Elf Patriarch.	
1538		Promoted to War Troll.	
1539		Found Troll Homeland.	
1540		Promoted to Champion.	
1541		Returned Ebonest to Charles Quixote.	
1542		Rescued Blazen Stormlance.	
1543		Promoted to Great Wyrm.	
1544		Gave the Sword of Whistlebone the Slayer to the Deftclaw Redreaver.	
1545		Promoted to Minotaur Lord.	
1546		Promoted to Cleric of the Sun.	
1547		Promoted to Nosferatu.	
1548		Promoted to Lich.	
1549		Recovered Idol of the Snake for Hiss of Blood Drop village.	
1550		Found the shield Eclipse.	
1551		Rescued Irabelle Hunter from the Ogre Fortress in Alvar.	
1552		Brought the Annointed Herb Potion to Languid on the Dagger Wound Islands.	
1553		Killed all of the Dire Wolves in the Ravenshore area.	
1554		Delivered False Report to the Dread Pirate Stanley for Arion Hunter.	
1555		Current Fines Due: %lu	
1556		Rescued Loren Steel	
1557		Gave Loren Imposter to Catherine	
1558		Retrieved Fort Riverstride Plans	
1559		Gave false plans to Elfking	
1560		Promoted to Rogue	
1561		Promoted to Honorary Rogue	
1562		Promoted to Spy	
1563		Promoted to Honorary Spy	
1564		Promoted to Assassin	
1565		Promoted to Honorary Assassin	
1566		Promoted to Cavalier	
1567		Promoted to Honorary Cavalier	
1568		Promoted to Champion	
1569		Promoted to Honorary Champion	
1570		Promoted to Black Knight	
1571		Promoted to Honorary Black Knight	
1572		Promoted to Initiate	
1573		Promoted to Honorary Initiate	
1574		Promoted to Master	
1575		Promoted to Honorary Master	
1576		Promoted to Ninja	
1577		Promoted to Honorary Ninja	
1578		Promoted to Hunter	
1579		Promoted to Honorary Hunter	
1580		Promoted to Ranger Lord	
1581		Promoted to Honorary Ranger Lord	
1582		Promoted to Bounty Hunter	
1583		Promoted to Honorary Bounty Hunter	
1584		Promoted to Warrior Mage	
1585		Promoted to Honorary Warrior Mage	
1586		Promoted to Master Archer	
1587		Promoted to Honorary Master Archer	
1588		Promoted to Sniper	
1589		Promoted to Honorary Sniper	
1590		Promoted to Crusader	
1591		Promoted to Honorary Crusader	
1592		Promoted to Hero	
1593		Promoted to Honorary Hero	
1594		Promoted to Villain	
1595		Promoted to Honorary Villain	
1596		Joined the Elemental Guild	
1597		Joined the Self Guild	
1598		Joined the Air Guild	
1599		Joined the Earth Guild	
1600		Joined the Fire Guild	
1601		Joined the Water Guild	
1602		Joined the Body Guild	
1603		Joined the Mind Guild	
1604		Joined the Spirit Guild	
1605		Joined the Light Guild	
1606		Joined the Dark Guild	
1607		Promoted to Priest	
1608		Promoted to Honorary Priest	
1609		Promoted to Priest of the Light	
1610		Promoted to Honorary Priest of the Light	
1611		Promoted to Priest of the Dark	
1612		Promoted to Honorary Priest of the Dark	
1613		Promoted to Great Druid	
1614		Promoted to Honorary Great Druid	
1615		Promoted to Arch Druid	
1616		Promoted to Honorary Arch Druid	
1617		Promoted to Warlock	
1618		Promoted to Honorary Warlock	
1619		Promoted to Wizard	
1620		Promoted to Honorary Wizard	
1621		Promoted to Archmage	
1622		Promoted to Honorary Archmage	
1623		Promoted to Lich	
1624		Promoted to Honorary Lich	
1625		%u Deaths	
1626		Collected %u in bounties	
1627		Served %u Prison Terms	
1628		%u Page Arena Victories	
1629		%u Squire Arena Victories	
1630		%u Knight Arena Victories	
1631		%u Lord Arena Victories	
1632		ArcoMage Champion	
1633		ArcoMage wins: %lu	
1634		ArcoMage losses: %lu	
1635		Received Promotion to Crusader	
1636		Received Promotion to Honorary Crusader	
1637		Received Promotion to Hero	
1638		Received Promotion to Honorary Hero	
1639		Received Promotion to Wizard	
1640		Received Promotion to Honorary Wizard	
1641		Received Promotion to Archmage	
1642		Received Promotion to Honorary Archmage	
1643		Received Promotion to Cavalier	
1644		Received Promotion to Honorary Cavalier	
1645		Received Promotion to Champion	
1646		Received Promotion to Honorary Champion	
1647		Received Promotion to Priest	
1648		Received Promotion to Honorary Priest	
1649		Received Promotion to High Priest	
1650		Received Promotion to Honorary High Priest	
1651		Received Promotion to Great Druid	
1652		Received Promotion to Honorary Great Druid	
1653		Received Promotion to Arch Druid	
1654		Received Promotion to Honorary Arch Druid	
1655		Received Promotion to Battle Mage	
1656		Received Promotion to Honorary Battle Mage	
1657		Received Promotion to Warrior Mage	
1658		Received Promotion to Honorary Warrior Mage	
1659		Joined the Elemental Guild	
1660		Joined the Self Guild	
1661		Joined the Buccaneer's Lair Guild	
1662		Joined the Protection Services Guild	
1663		Joined the Smugglers' Guild	
1664		Joined the Blade's End Guild	
1665		Joined the Duelists' Edge Guild	
1666		Joined the Berserker's Fury Guild	
1667		Joined the Air Guild	
1668		Joined the Earth Guild	
1669		Joined the Fire Guild	
1670		Joined the Water Guild	
1671		Joined the Body Guild	
1672		Joined the Mind Guild	
1673		Joined the Spirit Guild	
1674		Joined the Light Guild	
1675		Joined the Dark Guild	
1676		Collected %u bounties	
1677		%u Deaths	
1678		Served %u Prison Terms	
1679		%u Page Arena Victories	
1680		%u Squire Arena Victories	
1681		%u Knight Arena Victories	
1682		%u Lord Arena Victories	
1683		Replacement for NPCs ¹3 ver. 7	
1684		Replacement for NPCs ¹17 ver. 7	
1685		Replacement for NPCs ¹54 ver. 7	
1686		Replacement for NPCs ¹56 ver. 7	
1687		Replacement for NPCs ¹57 ver. 7	
1688		Replacement for NPCs ¹60 ver. 7	
1689		Replacement for NPCs ¹61 ver. 7	
1690		Replacement for NPCs ¹62 ver. 7	
1691		Replacement for NPCs ¹63 ver. 7	
1692		Replacement for NPCs ¹64 ver. 7	
1693		Replacement for NPCs ¹65 ver. 7	
1694		Replacement for NPCs ¹66 ver. 7	
1695		Replacement for NPCs ¹71 ver. 7	
1696		Replacement for NPCs ¹72 ver. 7	
1697		Replacement for NPCs ¹77 ver. 7	
1698		Replacement for NPCs ¹78 ver. 7	
1699		Replacement for NPCs ¹11 ver. 6	
1700		Replacement for NPCs ¹13 ver. 6	
1701		Replacement for NPCs ¹17 ver. 6	
1702		Replacement for NPCs ¹108 ver. 6	
1703		Replacement for NPCs ¹193 ver. 6	
1704		Replacement for NPCs ¹195 ver. 6	
1705		Replacement for NPCs ¹155 ver. 6	
1706		Replacement for NeedToTestIt ¹0 ver. 6	
1707		Replacement for NeedToTestIt ¹31 ver. 6	
1708		Replacement for HasNPCProfession ¹64 ver. 6	
1709		Replacement for HasNPCProfession ¹63 ver. 6	
1710		Replacement for NeedToTestIt ¹0 ver. 6	
1711		Replacement for NeedToTestIt ¹31 ver. 6	
1712	Mysterious woman asked you to travel in time and fulfill destinies of other heroes. Well...	Cross Continent Q
1713	Enter The Controlled Breach, find Runaway Chaos and bring it to the Uneasy Origin Matter.	Cross Continent Q
1714	Find your friends.	Cross Continent Q
1715	Find entrance to the main Breach structure.	Cross Continent Q
1716		Cross Continent Q
1717		Cross Continent Q
1718		Cross Continent Q
1719		Cross Continent Q
