News # 	Text	Notes / Topic	
462	Castle Kriegspire was originally built to study the extinct volcano in which it rests, but recent activity from that mountain has chased all humans from the castle.  It hasn't been destroyed yet, but monsters are the only ones that dare live inside it.	Castle Kriegspire
463	The dragons from Dragonsand have taken advantage of the devils' attacks and have spread out from the desert into the nearby wastelands. They are even rumored to be as north as Kriegspire.	Dragons
464	Some monsters can be reasoned with.   If you know the charm spell, for instance, you can make even the most ferocious of beasts temporarily friendly.  Remember– you don't have to kill everything you meet.  Sometimes just getting past them is enough.	Enemies 
465	Lady Fleise is the Queen of the Merchants, and she has built a huge fortune by controlling shipping prices.	Loretta Fleise
466	Occasionally some coastal towns or slow ships are attacked by pirates.  Fortunately, pirates are rare, but their attacks can affect prices in the towns they plunder.	Pirates
467	Certain monsters and spells can reduce your body to ashes, making efforts to raise the dead difficult.  We healers call this eradication.  Only special temples and spells can cure eradication.	Eradication
468	You don't need a powerful spell caster with you for healing.  All the towns and castles have temples with healers.  You can make healing potions, find items with healing spells in them, or even magical fountains or shrines that can heal you.	Healing Alternatives
469	The largest Guild of the Self was founded in Silver Cove.	Guild of the Self
470	Whenever you have the opportunity, it pays to become an expert or master in any given skill you've been practicing.  Experts and masters enjoy benefits and effects out of the reach of people who just learn the basic skill.	Experts and Masters
471	It's important to fight creatures challenging to you.  If you fight weak creatures, you don't learn much experience, and if you fight hard creatures, you run the risk of dying.  The creatures at your skill level are the most rewarding to learn from.	Opponents
472	Always wear armor if you can!  Always!  And spend a little effort to learn to use it or you'll wallow like a pregnant yak in a fight!	Armor
473	A man had wandered through not too long ago proclaiming to have knowledge of ancient weapons, the likes of which have not been seen since the Time of Wonders.  We laughed him and his insane ramblings right out of town.	Ancient Weapons
474	This spell is my personal favorite.  It works best on the strongest and toughest monsters by making them heavier, and smashes lots of important internal organs.  It seems to cut their health in half, and with the strong ones, that can be quite a bit.	The Wonders of Mass Distortion
475	The greatest magical researcher since the Silence, Twillen's age has finally caught up with him.  The last I heard, he was searching for a way to find his youth again.  I don't think even he can counter the forces of nature.	Twillen
476	Dark magic makes up one half of the Mirrored Path.  Dark cannot exist without light, nor light without dark.  'Evil' is the word most commonly associated with the school of dark, but that's not true.  A school, like a weapon, isn't good or evil by itself–  it's morality is determined by its use.	Dark Magic
477	Although banks in Enroth don't pay interest, they protect your money from theft and loss.  You should consider putting your money in a bank before embarking on any long or dangerous trips.	Banks
478	Ahhh, the point of being a merchant!  Gold makes the world move.  Economies bustle with exchange of gold, from markets to farms, to towns, to kingdoms– everywhere!  Even kings spend the lives of their men more readily than they will their gold.  Being a merchant is the way to accumulate wealth, and that wealth gives me a status that most people will never have.	Gold
479	There is a small village around Abdul's Desert Resort that sells some of the finest magic equipment I've ever seen.  Heaven knows where they get it, but it sure is nice to know that stuff is available there.	Desert Villagers
480	Beware of highwaymen plying the roads between towns.  Wise travelers will take advantage of Enroth's many high quality banking establishments to avoid being completely robbed by these parasites.	Bandits
481	A whole culture of underworld people exists, though it is sometimes difficult to find.  Thieves and criminals have their own organizations and codes, and are surprisingly good at spreading information.  Though you can't always trust them, it's wise to use them as best you can.	Underworld
482	I've build a few secret doors in my day, and I think I can safely say that some of them are virtually indistinguishable from a plain old wall.  If you have the Wizard Eye spell, you can use it to look at the map it makes for you and logically work out whether or not a section of wall is part of a secret door.	Secret Doors
483	Hey!  I'm a legitimate locksmith, not some shady burglar or thief.  I help protect peoples' belongings, not steal them.	Thief
484	A pipe gives a wise man something to think about and a fool something to stick in his mouth.	Wise Men
485	Speaking of dooming yourself, poor Roland should never have bitten off as much as he did.  I'm sure he met his end courageously, but it was far too early in his life.	King Roland
486	Don't be careless with the way you pack your goods in your backpack!  A little organization can save a lot of space, and let you carry more.  No one's going to do it for you, you know!	Packing your Goods
487	Some places it is simply too dangerous to rest.  Never assume you can rest in a difficult area.  Try and save enough strength to be able to retreat to a safer area.	Resting Safety
488	You know, it really makes me uncomfortable to have to do business with or hear accounts from criminals.  I know they've stolen money, but what am I to do about that?  Jail is reserved for only the most violent or persistent of criminals.  Bring back Archibald and the good old fashioned execution, that's what I say!  King Roland's too soft, and so is his regent.	Shady Dealings
489	One of the best ways to make money is to curb your expenses.  Find the cheapest places to get supplies, healing, and training.  Don't hire people you don't need, don't pay for travel unless you need to, and don't buy items you don't intend to use.  Saving money is as important as making it.	Expenses
490	There's a way to make a powerful potion by mixing common herbs into water and the simple potions that process makes into more complex potions.  I know that if you mix an orange potion with a green potion you'll end up with a white potion of extreme protection.  There's a lot of other combinations you could try, but experimenting is dangerous!	Potions
491	I love a well prepared steak, seasoned with a few herbs, and served with onions and mushrooms.  Add some steamed vegetables, maybe a potato, and some good ale… now that's a meal!	Favorite Dishes
492	Now, not a lot of people like to go to the Mire of the Damned, and I'm one of them.  Horses don't belong there, either, and I don't think you'll soon find a stagecoach company willing to take you there.  My advice is to stay away from that place.  	Swamp Travel
493	In my last visit to Castle Ironfist, Nicolai raved over how much he wanted to visit the circus.  I played a few songs from the circus for him, and he seemed to appreciate the gesture a great deal.	Nicolai
494	It isn't wise to laugh off prophecies, even if, admittedly, most don't come true.  The most important one of our age is the one by Apius Silanus made on his deathbed 800 years ago when he said the dark brother would rise again in the shadow of the light brother's sunset.  That sounds an awful lot like our King Roland and his wicked brother Archibald, doesn't it?	Prophecies
495	Lady Fleise is the Queen of the Merchants, and she has built a huge fortune by controlling shipping prices.	Loretta Fleise
496	Alamos is the home of many researching sorcerers and their magyar guards.  Rumor has it the sorcerers there study summoning spells, but no one is brave enough to go there and ask.	Alamos
497	If you're ever facing a horde of small monsters, try using the Ice Blast spell on them.  It explodes into dozens of tiny shards of ice that bounce around and slice your enemies to ribbons.  Because it will bounce off the walls, it works even better indoors.  Make sure you cast it far away from yourself, or it will hit you, too.	Ice Blast
498	If you're going to be teleporting around everywhere, it's important to keep good maps to avoid getting lost.	Maps
499	Light magic is the strongest magic in the world that doesn't bite you for trying to use it.  Dark magic can work offensive miracles, but often as not there's a price to pay for using it.  Also, many of the most destructive dark magics hurt the caster at the same time it hurts the enemy.	Light Magic
500	Pipe music seems to have a strange effect on rats and children.  At least it does when I use my best pipe.  They follow you everywhere!  	Rats and Children
501	I've never made it to Star Island, but I've seen the statues outside.  No one has ever come back from a trip to the island, and I suspect the statues are the transformed people that have made it to the island and discovered some terrible secret there.	Star Island
502	For sea battles, there's nothing like a trident for dealing with enemies.  The trident works underwater, or from the surface into the water.  Most weapons can't cut through the water well, but a trident stabs right through it.	Tridents
503	Rumors abound that the council actually guards a cache of equipment from before the Silence.  I don't believe it, though.  Wouldn't the council have used this equipment against the devils, or even in the Succession War if it were true?	Council's Cache
504	Here, let me see your palm…<pointing at a line on your hand> Ah.  Well, just as I suspected.  You're going to die.  Soon, I'll warrant.	Palm Reading
505	A dagger or knife is the most useful weapon in the world.  You can use it for a variety of tasks, from cooking to carving to lock picking (in a pinch).  Plus, as you become more and more skilled, you can use one in either hand and even strike vital locations on enemies with precise attacks.	Daggers
506	If ever there was a snake's nest of politics and religion, it was Karigor.  Karigor is a small island southeast of the 'bootleg' that New Sorpigal is situated on.  The twin rival Churches of the Sun and the Moon were founded there, and fought the longest war the world has ever seen until they managed to destroy one another about 200 years ago.  Their artifacts of power are scattered around the world.	Karigor
507	The Temple of Baa is full of insane cultists bent on world domination!  Their evil is everywhere, and they're out to get you and me!  Our only chance of escape is to kill their leader, Wilbur Humphrey, before he poisons the ear of the prince any longer!	Baa
508	A bandit that prowls up north, he is notorious for collecting 'protection' from merchants.  He has a good racket, but I'm not sure how long it'll last before someone does him in.	The Prince of Thieves
509	Don't tell anyone I said this, but people are saying the Ironfists have lost the Mandate of Heaven.  What else could cause all the storms and floods and disasters?  These are signs of heavenly wrath, mark my words!	Mandate of Heaven
510	With all of the troubles that are going on, I'm certainly glad to be protected by my lord!  Other people might have to worry about their well-being, but all I have to focus on is the work that must be done.	Protection
511	Gauntlets are more an armorer's specialty than a tailor's, but I can tell you that the best stuff is available in the armorsmith shops of the far north.  The finest of these magical gauntlets are almost as easy to wear as a soft glove, yet protect every bit as well as the hardest plate gauntlets.	Gauntlets
512	As much as I hate being a lowly laborer, I'd much rather be me than any of the Ironfists.  Troubles seem to follow them like ants at a picnic.  I lead a simple but happy life… better that than to be a miserable noble.	Ironfists
513	There's been a lot of troop movement, these days.  All these soldiers keep walking over my fields!  Now you tell me– what do you think happens when an entire army walks over your crops?  Yes, that's right!  Financial ruin!	Armies
514	Fortunately there are a lot of taverns and inns around; they keep me busy making casks for them.  You can find an inn almost anywhere.	Taverns
515	It's tough being a potter these days– there's no reason making it harder on yourself.  Always go to market knowing what prices should be, and make sure you come armed with your wits!  Someone without any merchant skill is likely to get bad bargains.	Markets
516	If you're planning on staying up north for very long, make sure you pack warm clothes.  It never seems to stop snowing up there.	Frozen Highlands
517	Dragonhide is the best material to use when making any shoe, belt, or boot.  It is supple, yet tough and resistant to the elements.	Dragonhide
518	With all the practice I have digging, I should go to the islands in the bay and dig for pirate treasure.	Pirate Treasure
519	Well, with all this bad weather going on, at least the wind is good for me.  I have two windmills, and a little wind goes a long way to saving me a lot of money on labor costs!	Wind
520	Perhaps I should move to Regna.  They have the largest navy in the world.  I could easily adapt to shipbuilding.  I mean, wood is wood, right?	Regna
521	Gems can be worth quite a bit of money, so don't get rid of them or sell them cheap!	Gems
522	"Why didn't the skeleton cross the road?

He didn't have the guts!"	Joke of the Day
523	Tanning is a disgusting job.  That's why I trap instead of tan.  	Tanning
524	I hate to be begging like this, but the injuries I sustained in the Succession War prevent me from doing most labor. 	Succession War
525	Don't laugh, but I heard that giant flying bloodsuckers are responsible for killing the cows in the New Sorpigal area.  Gods preserve us!	Bloodsuckers
526	Scattered about the lands are shrines.  I wonder what they're dedicated to and who worships at them?	Shrines
527	I've scribed some spell books for a number of sorcerers, including Albert Newton.  He's my best customer, as a matter of fact.  He sells the most complex spells to the Guilds of Light and Dark based somewhere in the west, probably near Blackshire.	Books
528	This Church focused on worshipping the heavens.  The conflict between the Churches of the Sun and Moon was pointless and wasteful.  We're all fortunate they're both gone.	Church of the Moon
529	Better than digging ditches.  Besides, someone has to keep the machinery of state moving!	Pushing Paper
530	Do I look bored to you?  I'm not, of course.  Acting like you're asleep is an old guard's trick. 	Sleeping
531	You can tell that Archibald's an Ironfist– he has the trademark bad luck.  Not only did his bid for power fail, now he's a statue in the royal library.  At least he gets to spend the rest of his days in the castle.	Archibald
532	This Mandate of Heaven nonsense really has the potential to start up some serious trouble.  If someone doesn't figure out what is going on with these disasters soon, the kingdom is going to fall apart!	Mandate Nonsense
533	If you're ever in need of healing and you don't have enough money to pay those sharks at the regular temples, why not visit a Temple of Baa?  They're healing people for free!	Free Healing
534	I wish I was Nicolai!  He's still a kid, but I bet no one tells him what to do!  He can do whatever he wants because he's the king.  Not like me, everyone tells me what to do.	Nicolai
535 W	Sometimes you can tell that a weapon is heavily enchanted just by looking at it.  If it's heavy and glitters a lot, it's expensive, and probably very powerful.	Magic Weapons
536	Don't overlook the defensive value of a good shield.  Yeah, I know a two-handed weapon hits a lot harder, but what do you do if you miss, or if that monster just doesn't go down on the first swing?  That's when a good shield comes into play.  It'll save your life one day, mark my words!	Shields
537	Statistics show that most items are broken when the wielder or wearer falls unconscious from damage, or where a monster has a particularly bruising blow to deliver.  The single best way to prevent broken items is to just not be knocked unconscious.  Get healed before it's too late.	Broken Items
538	Most items you find will boost or enhance some basic characteristic about you, but a few will have a more complex effect.  It is these that are truly valuable, and their names are usually in the form of 'item of ' as in wand of lightning bolts.	Magic Abilities
539	There is an island southwest of Enroth where people say is the headquarters of the Temple of Baa.  Why they would pick such a remote location for such a popular religion is beyond me, though.	Volcanic Island
540	Rumor has it the westernmost parts of the Frozen Highlands are overrun with powerful creatures.  Maybe even dragons!	Frozen Highlands
541	Not anymore it isn't!  Since the devils came, Paradise Valley is a barren wasteland infested with hundreds of devils.  No one goes in there and survives!	Paradise Valley
542	King Roland keeps his own personal royal yacht, the Queen Catherine, in a lake just west of Castle Ironfist.  She is a mighty ship, capable of going nearly anywhere quickly, but only the king or the regent can give permission for someone to use her.	The Royal Yacht
543	Many small islands fill Bootleg Bay.  I've heard rumors of temples on the islands, and even pirate hideouts!  I've never seen either, but I can imagine the amount of treasure a pirate would have accumulated.	Bootleg Bay
544	It is important to raise someone from the dead as soon as possible, if you intend to do it.  If you take too long, death may require more than one spell to fix.  This can get expensive!	Death
545	It's possible to create more complicated potions by mixing the simple potions together to create compound potions.  Compound potions are stronger than simple potions and have slightly different effects.	Alchemy Basics
546	Simple potions combine to create compound potions.  Orange potions temporarily boost your armor class, green potions temporarily boost your resistances, and purple potions serve as antidotes to any poison.	Advanced Alchemy
547	Everyone has a spell book, but many lack the ability to fill it with even the simplest of spells.  If you can somehow get a spell into your spell book, you can cast it as long as you have enough spell power.	Learning Spells
548	A cunning woman– it's easy to forget how intelligent she is when dealing with her.  Aside from gaining vast amounts of wealth, she's mastered several skills, and is associated with a few of the druidic orders of the north.	Loretta Fleise
549	Pay attention to the advantages of small, quick weapons.  If you're good enough with them, you can attack twice as often as you could with a larger, heavier weapon.	Initiative
550	Some warriors prefer to specialize in one weapon above all others.  This training makes them incredible fighters, but it has a few weaknesses.  They may not be able to find an awesome weapon of the type they've specialized in, or they may be fighting against an opponent that is more resistant to their type of attacks.  Specialists are very good, but they shouldn't travel alone.	Specialization
551	Be sure to use spells of protection when you have them.  They can really reduce the heartache of being reduced to ash by dragon fire or electrocuted by enemy sorcerer lightning attacks.	Spells of protection
552	A powerful sorcerer, Agar tried in vain to create powerful creatures as his slaves so that he could conquer Enroth.  His minions were either too stupid to be of use, or too smart to be controlled.	Agar
553	Corlagon took Terrax's Crystal to his estate for studying when he began learning the Necromantic arts.  I imagine the crystal is still there.	Terrax's Crystal
554	Diplomacy is the skill that makes people feel more favorable towards you.  If you must speak with someone who doesn't seem to like you, make sure that you use your most diplomatic person to do the talking.	Diplomacy
555	I wish I knew who Abdul is.  His shops consistently offer low prices– he must be a bandit trying to launder money.  I can't see any other reason to have the low prices he does.	Abdul
556	I'm certain the devils destroyed the town of Sweet Water!  It was the most northwestern town in Enroth, and certainly one of the most beautiful.  Not many people made it out that way to visit, but now you don't hear anything about the place.  	Sweet Water
557	There are two major thief guilds in the land.  One, the 'sanctioned' one, can be found in some of the major towns in the kingdom.  The other, guild is called the Shadow Guild.  They are much more violent and cruel than the sanctioned guilds, and I'm sure the king would put them down if he had the time.	Thief Guilds
558	The lords themselves are too busy to handle most affairs of state, so they have council members that attend the High Council in Free Haven for them.  Each lord has one council member, and these six people make most of the laws of the state, in the names of their respective lords.	Council Members
559	Plate armor is, of course, the strongest kind of armor available.  There is a legendary suit of armor called Zeus, and it can imbue its wearer with extraordinary strength, but it doesn’t do much for the personality.  	Magic Armor
560	I've heard rumors that Zoltan Phelps lost a valuable possession to a group of bandits.  If he had taken proper precautions and had used my services, that wouldn't have happened.	Jerrad
561	I know I charge a lot to travel with, but I'm worth it!  If you keep me around, I'll tell you words of wisdom you'll not soon hear from anyone else.  For instance, did you know that a fool and his money are soon parted?	A Fool's services
562	It's a pity the Temple in Free Haven was destroyed in the fire.  That temple had the most magnificent altar.  The clerics there could raise people from the dead, even from just ashes!	Temple in Free Haven
563	The people who hire me often ask me to carry all kinds of junk I know they can do without.  Sorcerers have got to be the worst.  Pipes, tubes, glassware, junk– the works.  Just keep the best stuff with you and sell all that old junk!  But remember that selling to a general store will always get the worst prices.	Pack Rats
564	Resting while poisoned or diseased is not advisable.  You stand a good chance of never waking from a rest while under these conditions.  You should get yourself healed of the poison or disease before resting.	Resting
565	The 'Imperial Regnan Navy' has been on a taxation spree recently, and this has raised the cost of sea travel and transportation tremendously.  Many businessmen simply cannot afford to pay insurance on their goods any longer.  Somebody has to do something about the troublesome Regnans.	Pirates
566	Due to the recent problems, people aren't spending as much money as they used to.  I'm afraid the economy is going to suffer quite a bit from this, and everyone will soon feel it.	Economy
567	Wise men are saying they think the Temple of Baa is behind all the disasters that have been happening recently.  I think they're probably right.  The temple offers free healing, but you should think twice before using it– people are suspicious of the temple, and you'll get a bad reputation for having anything to do with them.	Evil Temples
568	I've heard of fountains with magical waters that are supposed to exist in the lands.  I wish I could find one of these fountains; I'd love to prepare a meal with some magical water.	Fountains
569	You don't need to worry about this as much if you travel using the stagecoaches, but if you walk, be sure to rest on grass.  It's a lot more comfortable, and your travelling resources won't get used up as fast as if you try to sleep in the middle of the road.	Resting
570	I don't understand why there aren't any major Temples of Baa in or around any of the major cities or castles.  For some reason they all seem to be built in more remote places.	Temples of Baa
571	Most people don't know about it, but the Dragon Towers posted near each of the towns are quite dangerous to students of air.  They're meant to shoot down flying monsters, but they'll also shoot at flying sorcerers.  They shot at me, once, and I'm lucky to be alive to tell this tale!	Dragon Towers
572	King Roland keeps his own personal royal yacht, the Queen Catherine, in a lake just west of Castle Ironfist.  She is a mighty ship, capable of going nearly anywhere quickly, but only the king or the regent can give permission for someone to use her.	The Royal Yacht
573	Terrax was Enroth's first arch mage, and a sorcerer of incredible power.  He developed the foundations for elemental magic, and made the first basic discoveries into light and dark magic.  His crystal is said to hold some of the highest magical secrets.	Terrax
574	The Town Portal spell is the single best spell for travelling huge distances in Enroth.  Masters of water have firm control over where they go and when they can cast this spell.  It's expensive to learn, but well worth your while!	Town Portal
575	If you can't learn to retreat, Guardian Angel at least provides a means of escape from certain death.  Anytime you explore a dangerous area, it's best to have this spell cast, just in case.	Guardian Angel
576	The Temple of Baa has been giving a bad name to all religion.  People are beginning to think they're behind these disasters, and I'm beginning to agree.  The gods must surely be angry with their disgusting heresies!	False Prophets
577	Can't count on savage beasts to be soothed by music.  That whole story about controlling beasts with music is just a myth.  I have scars to prove it!	Savage Beasts
578	Castle Darkmoor, in the deepest part of the Mire of the Damned, houses the most powerful undead anywhere in the world.  That's how the rumor goes, anyway.  I've never actually seen the place, much less been inside of it.  I've made it out of the mire alive, though.  Not many people can say that.	Darkmoor
579	I know it sounds bad, but the best job I ever had was Imperial Tax Collector for his Highness, Hareck IX.  We collected tax on a lot of ships, and good old Hareck always let us keep some of the booty– er, I mean proceeds.  <sighs> Yep.  Those were the days!	Imperial Taxation
580	The knight's Lord!  Osric's mastered everything there is in combat, from individual fighting to the logistics of siege warfare.  No one is a match for him in a battle!	Osric Temper
581	I can see the mark of doom about your face!  It is like a cloud that hangs just above your head, clouding your features and casting a shadow over your future.  Great and terrible adventures await you, my friend!	Doom!
582	The priests of Baa are nice, even to gypsies.  You can tell a priest of Baa from the decorative cloaks they wear.	Baa Cloaks
583	If someone won't talk to you, and begging doesn’t seem to be working, try a good, hefty bribe.  Gold loosens a tongue faster than charity.	Bribes
584	Everyone wonders what secrets the ancient pyramid in Dragonsand holds.  Well, I know.  I went there under the protection of the King of the Dragons, and entered the pyramid.  It's the storehouse for all of the dragons' treasure!  It's packed to the brim with gold and artifacts.  Ahh, just the memory of the beauty brings a tear to my eye.	Pyramid
585	Gah!  Nothing has ruined my livelihood more than the banks.  Because it's nearly impossible to break into them, everyone stores all of their valuables there.  I can't find anything decent to take anymore.	Banks
586	It's a shame about the king, what with his disappearance and all.  He must have done something to offend heaven to be so unlucky.  I guess he's getting what he deserves.	King Roland
587	I wish I was a hero with a sword and shield, instead of a peasant with a plow.	Adventurer
588	Erik Applegate is the tailor most famous for working with alchemists to enchant belts.  Applegate has been working at this task for a few decades, now, and you can expect they've turned out some amazing stuff.  	Belts
589	I ate some poppysnaps once.  They made me so sick I missed a day's work.	Widoweeps Berries
590	I hear there's a terrible blight infecting crops and plants in the west.  If it spreads here, I'll be ruined!	The Blight
591	With the destruction of Blackwoode and the stand-off in the Timber War, where am I going to get wood to keep making barrels?	Wood
592	You can find the shells of all these little animals along the beach and in the rivers when you're looking for good clay.  They must be very old.  There's a lot of shellfish in the Free Haven Harbor.  Oysters, I think.  So many of them, they clutter up all my good clay!	Fossils
593	Fancy hats and pretty shirts are nice, but if you're going to be in combat you're better off with armor and a helmet.	Clothes
594	Have you ever heard of the legendary pair of boots called Hermes?  It's said that the boots can boost their wearer's speed to godlike levels.  I'd love to see that someday!	Hermes
595	I'm not nearly as skilled as some of the people around here.  If I could cast spells, or heal, or fix things, more people would want to hire me.  Who needs ditches dug anymore?	Skills
596	While the storms have been a big help with the windmills, the water mills are suffering from all the cold weather.  Every time the streams freeze up, no work gets done at the water mills.	Water Mills
597	The last Heavenly Forge stopped working about 130 years after the Silence.  No one has ever been able to repair the Forges.	Heavenly Forges
598	They say that the streets of Kalimar, the capitol city of Karigor, are made of fine jade, and the buildings all use it too.  Sounds beautiful, doesn't it?	Jade
599	Did you hear about the orc ventriloquist whose dummy quit to find a new partner?	Joke of the Day
600	There's lots of ways of laying a trap that's sure to go off when someone opens a box or steps on a certain spot on the ground.  You'd do well to have a little skill in disarming traps if you're going to go adventuring.  Could save your life one day, you know.	Traps
601	Have pity on a poor soul and spare a few coins!  The gods will favor you if you do.	Donations
602	Ever try sneaking up on a cow in the middle of the night?  They sleep standing up.  You can knock them over by just pushing hard.  Boy, that is one surprised cow when it wakes up!	Cow Tipping
603	Who's Ivan Seling?  Only the greatest bow craftsman ever!  I wish I had a bow he made.  No one could be a better hunter than I!  Unfortunately, his bows have become very rare since the Timber Wars.	Ivan Seling
604	Given the lousy selling price of spell scrolls, I would just hold on to them and use them in emergencies.  Often they are scribed at a very high skill level, so you may find their use worthwhile.	Scrolls
605	Roland's death is proof that the Ironfist line has lost the Mandate of Heaven.  It's time Enroth had new rulers!	Roland
606	Rubber for my stamps comes from southern Erathia's more tropical climate.  There's a plant that grows there that saves clerks 'round the world a lot of repetitive writing!	Rubber Stamps
607	I wish I had the opportunity to go on Roland's expedition.  Better to take action and fight bravely against the enemy than to stand around and wait for trouble.	Roland
608	I can't believe the strange weather we've been having lately.  I think I might just start betting on the weather.  I could probably make a killing!	Weather
609	The king's disappearance is a disaster.  I know that it is hard to feel sympathy for the nobility, but an orderly kingdom is in everyone's best interests.  Losing the king doesn't create order, and there is no one who could possibly replace him without so much bloodshed it would make the Succession Wars look like a schoolgirl slap fight!	The King
610	Once you join the Temple of Baa, you'll be issued temple cloaks and be allowed to visit the Superior Temple of Baa located just east of Castle Kriegspire.  Everyone's going to join us sooner or later, so why wait?  The Superior Temple is quite a sight!	Superior Temple
611	My mother told me that if I do bad things, the devils will come and get me!	Devils
612 T	Don't let the name fool you:  Abdul's discount stores offer really great quality for low, low prices.  He also didn't pay me to say that on Thursdays.  Honest.	Abdul's Discounts
613	Always have your best merchant do the talking when you buy and sell stuff through merchants.  If they can make a few more gold pieces off an unwary customer, not a one of them will hesitate, believe you me!	Merchants
614	Many unusual magical effects occur during annual astrological events, such as the two solstices and equinoxes.  Eclipses, midnight, noon, comets; all these things can be magically significant.  The significant dates this year are:  March 20th, June 21st, September 23rd, and December 21st.	Equinoxes and Solstices
615	In the land of Enroth, the shades of black and white have special magical significance.  If an item or a potion is colored white, it usually means that it provides a powerful beneficial effect without any sort of negative side effect.  If it is black, it provides the most powerful of effects, but with some sort of unpleasant side effect.  Be careful!	Black and White
616	Everyone has heard of Abdul's chain of discount stores.  Well, he also has an island resort where the old and tired can be rejuvenated for a hefty fee.  They say that Abdul himself lives on his resort Island and rarely visits the mainland.	Abdul's Discount Island Resort
617	Druidic orders flourish in the grasslands near Silver Cove.  These druids will often arrange stone circles to perform ceremonies or worship nature.	Druids 
618	The mountains that make up the gap that leads to Paradise Valley are called the Sentinels.  Folk tales suggest they protected the valley from evil; now they serve as a warning to anyone foolish enough to want to enter.	Sentinels 
619	There are many islands that can only be reached with a combination of boat travel and the Walk on Water spell.  Many of them are inhabited by the most horrible of monsters, but often the finest treasures can be found on them.	Islands
620	Travel by boat isn't instantaneous; it takes time.  Don't forget to factor in your travel times if you're running on a deadline.	Boat Travel
621	There once was a temple built by Lord Stone in the city of Free Haven, but it was burned down by vandals a few years ago.  The quality of the altar there was so good that it permitted the priests to raise anyone from the dead, even eradicated bodies.	Free Haven's Temple
622	A low level body spell, First Aid is very efficient in terms of its casting cost, but slow.  If you have plenty of time, it's the best way to heal damage.	First Aid
623	The pinnacle of light spells, Divine Intervention does just that– calls for Eyla, goddess of healing, to intercede on your behalf and heal your group to full life.  Her price, a part of your life-force causing you to age a few years, is sometimes well worth her attention.	Divine Intervention
624	Training centers are the best way to increase your level, but they can get awfully expensive later on.  Personally, I recommend Abdul's Discount Training centers to avoid excessive training costs.	Training Centers
625	No teacher in the world can equal the Oracle in Free Haven.  The only catch is that to visit the Oracle, you need to have the unanimous approval of the High Council.	Oracle
626	One advantage of the sword and the dagger is that skilled users can wield a blade in their left hands instead of using a shield.  Even a fluff head like yourself should understand why that could help.	Combo weapons
627	I know how easy it is for us warriors to scoff at the weak mages out there, but they can make themselves useful at times.  Many of their spells can increase your fighting ability by making you faster, or hit better, or more resistant to damage.  As long as they can pull their own weight, mages make excellent travelling companions.	Magic
628	Travelling spells represent the most important class of spells for all magic-using people.  Not only do they let you get to places you couldn't get to without  magic, but they let you visit things like health and magic-boosting fountains in remote areas, and use those abilities in dangerous dungeons and castles where you need them.	Travelling Spells
629	Agar's 'finest' creations, these floating heads have surprising intelligence and great power at their command.  Their gaze is enough to put you to sleep.  Rumors abound of even more powerful eyes that can cause panic or even complete insanity.	Flying Eyes
630	A few Guilds of the Self exist in the lands.  Combining knowledge of mind, spirit, and body, these guilds offer a more generalized study than any of the individual guilds can offer.  Their knowledge of the individual schools isn't nearly as complete, however.	Self Magic Guilds
631	Don't let the name fool you:  Abdul's Discount stores offer really great quality for low, low prices.  He also didn't pay me to say that on Thursdays.  Honest.	Abdul's Discounts
632	In the north, businesses are controlled by a few monopolies that prevent competition by any means necessary, even by extortion.  The Shadow Guild and the Thieves' Guild have already started to clash over rights in areas like Silver Cove and Free Haven.	Shadow Guild
633	Take my word for it when I say the Mire is a bad place to find yourself at night.  The Necromancer's Guild 'retired' to the swamp after Archibald's defeat in the Succession War, and evidence of their handiwork is walking around the swamp freely.	Mire of the Damned
634	You can avoid a lengthy jail sentence for any crimes you've been committing by receiving forgiveness at the temples.  If you run into a guard before receiving forgiveness for significant crimes, you could be looking at a year in jail, or even longer.  	Jail Sentences
635	Many monsters won't reason with you, no matter how eloquently you phrase your requests.  You need to recognize hopelessly aggressive monsters and be rid of them as fast as possible.	Monsters
636	Many people don't really care for tinkers because we wander and do odd jobs that guilds would like to charge a lot for.  But you like me, don't you?	Undesirables
637	With all the troubles that have been going on, business has been great for me.  People have found the need to lock up their possessions to try and protect them from marauders or looters.  It's good to know I can give people at least a small sense of security in these dark times.	Danger
638	I bought a treasure map from this treasure map salesman I met awhile ago and it says the dread pirate captain Silveka buried his treasure under a tree on one of the  islands east of Free Haven.	Treasure Map
639	Loretta is my kind of person.  She makes her own luck, and it's almost always good.  She's got confidence, and that's something you can't just buy.  I'm sure that's the reason she's so successful: a confident, positive outlook.	Loretta Fleise
640	I'm sure you've seen the obelisks scattered around the Kingdom.  They say there's a riddle in them just waiting to be solved that shows where to find a great horde of buried treasure.  No one's ever done it, though.  At least, no one I've ever heard of.	Obelisks
641	Aye, I've worked in Osric's army before, tending camp and preparing food and cataloguing supplies.  He's a fair man, and an excellent leader.  He knows how to keep his troops motivated, let me tell you.	Osric Temper
642	There are only three certainties in life:  The first is death.  The second is taxes.  And the third is the fact that you'll hear that joke sooner or later.	Death and Taxes
643	Banks are a safe place to store money.  Unless you personally own a secure, guarded vault, your best bet is to put your money in a bank.  You don't collect interest on your money, but because the banks don't lend out money, you don't have to worry about losing it.	Banks
644	One of the few exports the Islands of Regna have going for them, besides piracy, is sugar, cocoa, and cinnamon.  If it weren't for those, I'd say we should ship the Temple of Baa over to Regna and let them sink all those islands!	Herbs from Regna
